,energy,atten_length,trans_fract,atten_fract,distribution
0,100,2.5004915694600156e-05,0.0,1.0,8809416.832290107
1,150,3.89591606910935e-05,0.0,1.0,8809416.832290107
2,200,5.833846576556622e-05,0.0,1.0,8809416.832290107
3,250,8.432247541531017e-05,0.0,1.0,8809416.832290107
4,300,0.00011390212968535285,0.0,1.0,8809416.832290107
5,350,0.00015127816326509507,0.0,1.0,8809416.832290107
6,400,0.00019342993282051097,0.0,1.0,8536509.417040262
7,450,0.00024359450375791377,0.0,1.0,8216049.952163551
8,500,0.0002993845319917009,0.0,1.0,7895590.48728684
9,550,0.00036541220470828143,0.0,1.0,7575131.022410128
10,600,0.0004385092084104792,0.0,1.0,7254671.557533417
11,650,0.0005187420777051668,0.0,1.0,7159567.458279683
12,700,0.0006086696864743836,0.0,1.0,7159567.458279683
13,750,8.687112115371673e-05,0.0,1.0,7159567.458279683
14,800,0.00010062024114391561,0.0,1.0,7159567.458279683
15,850,0.00010020982138204391,0.0,1.0,7159567.458279683
16,900,0.00011498944288082147,0.0,1.0,6774130.969512211
17,950,0.00012706033352166785,0.0,1.0,6079448.925803393
18,1000,0.00013968063088841092,0.0,1.0,5384766.882094577
19,1050,0.00015722254235032488,0.0,1.0,4690084.838385759
20,1100,0.0001759953515112871,0.0,1.0,3995402.794676941
21,1150,0.00019602292824845368,0.0,1.0,3583075.388088481
22,1200,0.0002173288568651358,0.0,1.0,3583075.388088481
23,1250,0.0002399360979077104,0.0,1.0,3583075.388088481
24,1300,0.0002638670271529747,0.0,1.0,3583075.388088481
25,1350,0.000289143470773911,0.0,1.0,3583075.388088481
26,1400,0.0003157867372103593,0.0,1.0,3618924.426395776
27,1450,0.0003438176461812948,0.0,1.0,3757839.4498365456
28,1500,0.00037325657545618295,0.0,1.0,3896754.4732773155
29,1550,0.0004059849445648581,0.0,1.0,4035669.4967180854
30,1600,0.0004404030096731427,0.0,1.0,4174584.5201588543
31,1650,0.0004765406444359649,0.0,1.0,4298263.702319024
32,1700,0.0005144272563598388,0.0,1.0,4298263.702319024
33,1750,0.0005540918041482432,0.0,1.0,4298263.702319024
34,1800,0.0005955628137979269,0.0,1.0,4298263.702319024
35,1850,0.0006388683935690786,0.0,1.0,4298263.702319024
36,1900,0.0006840362479370719,0.0,1.0,4298263.702319024
37,1950,0.0007310936906205614,0.0,1.0,4518585.16066731
38,2000,0.0007800678160739787,0.0,1.0,4747778.624049753
39,2050,0.0008326901243172635,0.0,1.0,4976972.087432197
40,2100,0.0008874581600154178,0.0,1.0,5206165.550814643
41,2150,0.0009444044397196967,0.0,1.0,5435359.014197087
42,2200,0.0010035611295675178,0.0,1.0,5478240.37186219
43,2250,0.0010649600541420554,0.0,1.0,5478240.37186219
44,2300,0.0011286327049128326,0.0,1.0,5478240.37186219
45,2350,0.0011946102482901196,0.0,1.0,5478240.37186219
46,2400,0.0012629235333225864,0.0,1.0,5478240.37186219
47,2450,0.001333603099064815,0.0,1.0,5681437.702674108
48,2500,0.0014066791816386905,1.830601415737614e-309,1.0,5987220.093701753
49,2550,0.0014821817210103957,9.766061331614078e-294,1.0,6293002.484729397
50,2600,0.001560140367502706,4.277093475365301e-279,1.0,6598784.875757044
51,2650,0.0016405844880604825,1.908254178843873e-265,1.0,6904567.266784689
52,2700,0.0017235431722856006,1.05263605753424e-252,1.0,7052526.488249679
53,2750,0.001809045238256144,8.54403466029274e-241,1.0,7052526.488249679
54,2800,0.0018971192381433432,1.1936192740968019e-229,1.0,7052526.488249679
55,2850,0.001987793463638616,3.3060759187315923e-219,1.0,7052526.488249679
56,2900,0.0020810959512020054,2.0631571101882234e-209,1.0,7052526.488249679
57,2950,0.0021770544871422496,3.256942550967184e-200,1.0,7172219.502439057
58,3000,0.002275696612538094,1.444649690855176e-191,1.0,7497700.505936491
59,3050,0.0023795879232725164,3.102609932982026e-183,1.0,7823181.509433924
60,3100,0.002486398351216819,2.1473239377729215e-175,1.0,8148662.512931358
61,3150,0.002596159168524471,5.206459695112766e-168,1.0,8474143.516428791
62,3200,0.0027089017698478657,4.772690553376156e-161,1.0,8728228.686900984
63,3250,0.0028246573186414482,1.773329873652344e-154,1.0,8728228.686900984
64,3300,0.0029434567509136625,2.8462147650857485e-148,1.0,8728228.686900984
65,3350,0.003065330778895473,2.0917817609319832e-142,1.0,8728228.686900984
66,3400,0.003190309894629998,7.425976120456189e-137,1.0,8728228.686900984
67,3450,0.003318424373486356,1.3375135778231837e-131,1.0,8750565.784197832
68,3500,0.003449704277601496,1.2786460204340423e-126,1.0,9065315.791562485
69,3550,0.0035841794592527845,6.76318936821171e-122,1.0,9380065.79892714
70,3600,0.0037218795641644426,2.0564996729919936e-117,1.0,9694815.806291794
71,3650,0.003862834034750263,3.724107501513836e-113,1.0,10009565.813656447
72,3700,0.004007072113295199,4.149559215647311e-109,1.0,10324315.821021102
73,3750,0.00415462284507807,2.9320434596563777e-105,1.0,10348683.563526755
74,3800,0.0043055150814373545,1.3510019841939202e-101,1.0,10348683.563526755
75,3850,0.004459777482782179,4.1657878892977416e-98,1.0,10348683.563526755
76,3900,0.0046174385215501665,8.804771256682088e-95,1.0,10348683.563526755
77,3950,0.004778526485114047,1.3043589726148086e-91,1.0,10348683.563526755
78,4000,0.004943069478638158,1.382702652998745e-88,1.0,10563920.987446088
79,4050,0.00511341032847277,1.1682804135541859e-85,1.0,10841935.993341897
